Name,"Secondary Name",Description,"Secondary Description",Category,"Sub Category",Price,"Package Charge",Status,Addons,Tax
"Broiler Whole Chicken with skin",,"A premium cut that has the perfect balance of fat & meat for a delicious and rich mouthfeel.Comes with perfect balance of fat which renders a rich flavour into the dish and gives the meat a fall-off-the-bone tenderness.Uniformly cut pieces from the shoulders and ribs to ensure even cooking.",,"Broiler Chicken","Farm Poultry Egg",250,0,1,,10
"Broiler Whole Chicken Skinless",,"Broiler Whole Chicken Skinless",,"Broiler Chicken","Fresh Broiler Chicken",100,0,1,,15
